,index,0,1,2,3,4,5,6,7,8,9,color
0,under 18,1.252493727465006,0.9058786509750058,1.506375406842994,1.166949771894214,-3.0720419274950865,1.7992046874024286,0.8293028827877037,1.762099855966543,12.973612341891497,8.760220032379769,Age
1,18-24,1.8255794606862086,1.6896478687742316,-0.12568888336732897,-0.9660714321646549,-2.204153834454735,1.4153693547005082,0.05678244430270607,-0.9025807604500776,-1.0861548796402587,0.2890467657054132,Age
2,25-34,0.6779884449857726,-0.09649034264924866,0.05654236614428646,-0.07205758983822526,0.49652021200027424,-0.34773231091821283,0.07605985660614101,-0.07781614207713164,0.05720218460722114,0.05231837159983961,Age
3,35-44,-0.5077299580056484,-0.5633293129817103,-0.19941858170606203,0.1211320753952264,-0.22907733063464,0.6662541851629389,-0.25781129981525147,0.13197447859508596,0.10285476370215133,-0.11951257279146744,Age
4,45-54,-1.1793910592497572,0.5908937911254285,-0.12190944276812649,-0.013230012076305593,-0.9961851646158562,-1.3142151759809013,0.9479820765066241,0.2739672503437665,-0.153164092286507,-0.015676909722340957,Age
5,55-64,-1.563803877836573,2.7627843189246444,1.5381074931994658,0.6220157514715218,0.9798625062520164,-0.19550128815956622,-2.3260942657691137,-0.4641360459049138,-0.05011488749015955,0.2044585771098988,Age
6,65 or over,-1.9405290504392374,4.723732668822445,2.7935934009756527,1.544748850165246,5.641362405452407,6.453083744635955,8.430747002568637,2.0425721675890984,-1.6773294759542505,0.07924435131522448,Age
7,1 year or less,1.3714119944786771,1.0808312087985024,0.22128010209670212,-0.5294566296299114,-1.9014202759711818,1.2024618284883422,0.10080633749151512,-1.0581579746115317,-0.7220108642116193,0.26667291687967093,Experience
8,2 - 4 years,0.8767548593639175,0.2332987303330958,0.054183565696320865,-0.18387115175302976,0.016763019586485114,-0.14261977137056028,0.10921746416268706,-0.2445574071330193,0.047392218359131016,0.12635700324079924,Experience
9,5-7 years,0.38083831655252653,-0.26189907875367674,0.008404030444046424,0.04158001150078638,0.6739217167119631,-0.4278813120955152,0.05005868919536557,0.019273388346910177,0.26491909582324874,-0.0800803808850256,Experience
10,8 - 10 years,-0.07567700092823582,-0.5188473138535484,0.04399306986930622,0.13027281262394266,0.2915519927433254,0.09939047766289964,-0.06940890973758869,0.15982746048311772,-0.07175257936161158,-0.07256169734208293,Experience
11,11 - 20 years,-0.8494143716971027,-0.4153389471432919,-0.31571635116100577,0.1433587508479713,-0.4940245548643438,0.6625092498743517,-0.30027892858404376,0.2990208200928338,-0.048662144708879335,-0.10958483382696907,Experience
12,21 - 30 years,-1.6474650945322578,1.3308287326615045,0.024782205677188817,-0.22655173853720362,-0.90583632671664,-1.9048896819233425,1.0926370775900753,0.13545398459720262,-0.1457092134527362,0.2092336103343955,Experience
13,31 - 40 years,-2.022361378596996,4.255497479534647,2.6864972476278,0.851337289768299,2.543047561664117,0.6764533370585031,-3.6430275501957468,-1.119091796326577,-0.24203286918799208,0.2550866748122539,Experience
14,41 years or more,-2.0903303491396485,5.762990545407077,2.7548273317214313,0.926169662336901,7.5805736513300666,9.979196998714203,13.13079581905804,3.9002428232986266,-1.799239739504443,0.4234661153358621,Experience
15,High School,-0.44815456066195947,0.793481954544911,-0.37934039434071015,-0.6935518756103402,-0.5400463012870167,0.9827271983712914,-0.07733716465302966,0.4924883917718568,2.351701432356304,0.4258827065062678,Diploma
16,Some college,-0.3999230047088873,0.9100837149221739,0.025643539552870562,-0.3584325522909309,-0.4225147618079557,0.13607478106521673,-0.15390121444793978,0.7970956611997916,1.4794696172184734,-0.251580945665532,Diploma
17,College degree,0.2951193966458195,0.20255463599312815,-0.20393822047674354,-0.33651035139194996,0.07198546732190296,-0.038115907713716486,-0.10626609013518626,0.2102661194032855,-0.2849779205756481,-0.28177958280478366,Diploma
18,Master's degree,-0.19145849360626135,-0.28377975768964037,-0.09653685101151482,0.6788942657389999,0.0680796348009726,-0.02848591191294435,0.04808777692961625,-0.06702704684567913,-0.12051137125592983,0.6717782765864765,Diploma
19,PhD,-0.524736321479301,-0.27764409932407846,-0.12973161538026878,0.7392744176095876,0.07648829831118724,-0.0006338492551139934,0.6382286757018074,-2.5513440612386913,0.3841553649098729,-1.4932923989096911,Diploma
20,"Professional degree (MD, JD, etc.)",-0.3634220363435083,-1.5504588014604752,3.3211938401965306,-1.4528548050725667,-0.5150144770629859,-0.012772989093862333,0.30421500847440125,-0.13203424588502008,0.24807363337629543,0.10645440818417182,Diploma
21,Man,-0.4902951819898771,0.15440991439884666,-0.6798863786474225,-1.0157524951032102,0.33971537704988125,0.2014746763912434,0.07600310392078286,-0.33089019734757447,0.5290873861071255,0.1865010785690372,Gender
22,Non-binary,1.2231377476842602,0.3243201373393722,-0.20152408355063317,-0.018523454313981065,-0.19983181594946722,0.1524661349798647,0.21846620285351143,-0.2454057516034217,2.067561519700388,1.6810055571417613,Gender
23,Prefer not to answer,-0.14125984532901917,0.19448413418480176,0.44600824156106766,-0.033945668407287265,0.017765749235014765,-0.15230318882851235,-0.40022963086518504,-0.7729173022030371,-0.08795723473988262,-0.27589644610849295,Gender
24,Woman,0.06783821570475827,-0.049168208605201186,0.14931816682112192,0.22593656861957828,-0.06840599991374816,-0.04715449038667052,-0.01719061767427365,0.09601437075908369,-0.1884205237547077,-0.09555438205724802,Gender
25,Advertising,0.5831998946526352,-0.13406769160592125,-0.24570708410093536,-0.1728323186651544,0.6514451979318633,-0.5056257321041474,-0.34835432851903486,0.773398457993329,-1.2160523300310722,-1.6329704473078641,Industry
