,index,0,1,2,3,4,5,6,7,8,9,color
0,cluster,-0.23262763789572044,0.15207272171186345,-0.06314629854712348,0.04676858382803095,-0.006999253124931326,0.12452726085524184,-0.07146594502674004,0.13820362391759258,0.41844945506044007,0.01789896563801569,Experience
1,1 year or less,-1.801357751226001,2.43561972318467,-3.0958934855328573,2.6445936152381675,3.1777523528910505,-2.4357992974286025,0.8765185283769114,-0.9302323366419004,-0.5684238018426407,1.0674470286659623,Overall experience
2,11 - 20 years,0.44024364271889405,-0.5744421976416404,-0.35818145708500615,-0.013178087114059258,0.5663249571096101,0.5102546073271973,-0.253846881897536,-0.11923596830026058,-0.21346657839011146,-0.2276459232962547,Overall experience
3,2 - 4 years,-1.3979650494727067,0.8640560916967684,-0.3101537626943941,0.18013208644682008,-0.6454140426614714,1.3894162661265281,-0.5669240750777214,0.3850036087377467,0.7629529851679786,0.5232428126052795,Overall experience
4,21 - 30 years,1.2153429943541667,0.7406413227501507,-0.8100793808300522,-0.20981353531514446,-1.1365283301704387,-0.5090178818144616,0.44949377652566214,0.7108651673534906,-0.020668570801364722,-0.06780317532099653,Overall experience
5,31 - 40 years,1.5393710257092421,2.776050499091449,2.3838406367558282,-0.24362541155384598,0.9561436261515743,-0.7279166185429724,-2.566635967091666,-0.5696938272929185,0.12337544789741514,-0.16315047819805262,Overall experience
6,41 years or more,1.7318496288150178,4.256547249449832,4.660314527603296,-1.284768943683717,4.1797687280068505,4.8378479018526654,8.57296330000279,1.293050100582185,-0.6546747191908402,1.031014116579799,Overall experience
7,5-7 years,-0.815920239055002,-0.08923915975392284,0.6269596464782047,-0.03991591765256931,-0.6385056261774861,-0.34109716053903283,0.24155078185344253,-0.44046583567088665,-1.2431906585725363,0.030738956460712927,Overall experience
8,8 - 10 years,-0.2944513611859216,-0.5960847631953642,0.5731400290914535,-0.04492545706623332,0.15207808411762466,-0.7929149904522156,0.3759661122218424,0.059512790150849,1.154270194873732,0.0665193062776489,Overall experience
9,1 year or less,-1.459791738476833,1.5979530545935807,-1.8241336746350127,1.5312578351734087,1.6913232207474214,-1.1209274003234382,0.40682644439613835,-0.4120869777469996,-0.21925854473801434,0.49308542765526947,Experience
10,11 - 20 years,0.8459431510580478,-0.3791951252464603,-0.6352028631824033,-0.030818938376902066,0.4588763650790554,0.7020421912725273,-0.3494750199153591,-0.04193904526283044,-0.5052562976903784,-0.23902316401149548,Experience
11,2 - 4 years,-1.0137052731163874,0.374549064736792,0.08628405681497671,-0.057981094040833764,-0.6581759094854973,0.8628154950006236,-0.3380312840704383,0.23252459658113755,0.31961714075583764,0.1902249792634417,Experience
