,index,0,1,2,3,4,5,6,7,8,9,color
0,College degree,0.05267507149475687,-0.2787169410184029,-0.5279390146028742,-0.26063419664747894,-0.29566111915972115,-0.305081745765747,0.19461762405736432,0.03533074711207394,0.013092996433396268,0.040553892192073025,Diploma
1,High School,0.6208170233312529,-0.7544798201679149,-0.5598910756168485,1.9061375261372666,2.612601545835922,0.2126057967770279,0.38629559327445495,2.8337313001589703,0.5932095296105208,1.9536624687058157,Diploma
2,Master's degree,-0.41844848483008423,0.03210629345045824,0.6197421349453666,-0.1498590706250996,0.0795101053636881,0.7480588639900705,-0.10384768387540148,0.029402660489355546,0.11801656434979974,0.035714651981126944,Diploma
3,PhD,-0.01024321556675639,-0.07903680550331028,2.3944497602566046,0.6912817996317848,-0.3056448300472046,-1.8798440003756747,-0.002602621151657993,-0.22684688552141755,-0.3088848541313717,-0.17166000169559656,Diploma
4,"Professional degree (MD, JD, etc.)",1.6887158073025974,3.3645913702598875,-0.15923912728720582,0.27540978077191236,-0.03656739357469738,0.08231824017012065,0.14629216145480897,0.10844294198669077,-0.1193434913992018,0.015453780112846665,Diploma
5,Some college,0.2192435154962072,-0.3820363604791405,-0.8905889914160067,1.260576212603909,1.233835293008945,-0.040836184435664856,-1.1074009759539802,-1.1242581816775699,-0.49977065699593276,-0.9090208044689666,Diploma
6,Man,1.1204144534602656,-0.8252974899625872,0.19092743761620432,0.25335959137285935,0.027461822852660706,0.1986538381636547,-0.01704868910087706,0.2653465117254254,-0.21625417863571428,0.06336033488284513,Gender
7,Non-binary,-0.46662947390630627,-0.34454473617780157,-0.8741935657167774,2.122808288902782,-1.011456612967652,1.348525505067504,1.5516120223513976,-1.2897232566091705,-1.1993424345627286,-1.1480397463512577,Gender
8,Prefer not to answer,0.1361905988363318,0.1254512564647091,0.304182283634819,0.42630219454825163,0.4683299087034529,-0.6725947811107874,1.6604395759919712,2.3255106834340564,3.7852644287806188,-2.5724560364118827,Gender
9,Woman,-0.25172502278687003,0.20538957608122968,-0.020216205624810833,-0.14246927268483034,0.02030355381361238,-0.08194217811579184,-0.08121802891905025,-0.06076650974912484,0.02313934378453274,0.07299344914173023,Gender
10,Advertising,-0.1932024375848807,-0.2082572374591034,-0.9326950087099055,-1.3351451407222672,-1.175560631254688,-1.3938527810588655,0.09233750259790131,-1.2438811124634197,0.0956738620762015,1.4155629857681933,Industry
11,Banking & Insurance,0.027750448597086246,-0.1316419109248133,-0.8164488284383046,-0.19425313049822399,0.8533149834465991,-0.3632018582064955,-1.4948887080403952,0.7505639612160787,1.1697387863551123,0.38357764094931485,Industry
12,Consulting,0.22082568862426866,-0.08658616307017847,0.29681908683411695,-1.0449031637158925,-0.45055805302874635,0.9693977176976016,0.271173817451234,-2.16520143368952,2.4213908327537266,0.07545013352676094,Industry
13,Culture,-0.631328079158115,-0.13734616596387259,-0.939158896976148,0.6755752599842005,-0.9027674453307537,0.5958402089798198,2.094363113886904,0.08275402417543783,1.8347847941799642,0.26678489376371833,Industry
14,Education,-0.9935926587434829,0.19309997461818126,1.3945989738342437,0.7767082610208875,-0.45464912980364125,-0.6833087309615559,-0.1001753318976284,0.28890335732959305,0.08655109450981345,0.1468190616251384,Industry
15,Health,-0.14458906663293028,0.4194358348761484,-0.27688604158887914,0.30371730368551714,0.9448261895183645,-0.6541732239950538,-0.4332027019597423,-1.1956773716274425,0.3021084210127746,-1.425876026212279,Industry
16,Industry,0.1804370090299696,-0.4035774650936564,0.08761099957580118,-0.9177034554663115,0.7520072258486421,-0.5383359035541537,0.9976914073871942,0.8179077603562221,-0.6103036152376253,-0.6133241607620824,Industry
17,Law,1.6715681820860542,3.589888892046461,-0.39017620295888356,0.4251010506864337,-0.39358708881188886,-0.011916589407925622,0.3076516966834816,0.42700759560784224,-0.36860879174078265,0.26980664569738666,Industry
18,Non profit Organization,-0.8868669277196485,0.1480047391394071,-0.37471656509437395,-0.12211570662278264,-0.9389067960012397,1.1292577873243332,-0.5721544364829926,0.7055709664554952,-0.558963779151449,-0.7287151655416518,Industry
19,Other,-0.4896963836852392,-0.06380419166307243,-0.5000978019362818,0.8261954008616114,0.6053185585754541,-0.13497504815417583,0.07465876616792576,-0.7743830394172287,-1.0662657472197186,2.533979587244892,Industry
20,Public & Government,-0.44708400325954856,0.2694373781726418,0.599849154791576,-0.6503915115457853,1.2175374137174664,1.3926219104978395,0.4234761560066217,-0.21392345709911076,-0.43972858459172637,0.4487423212954142,Industry
21,Technology & Science,1.1083788202085787,-0.841047905342506,0.25020475113664303,0.22241398983613567,-0.3441407101514584,0.2725683704860953,-0.11991201298145394,-0.08061831647572594,-0.17583474448761371,-0.05873381239336549,Industry
22,Unidentified,-0.09205403739797965,-0.3367884688711965,-1.0981559378765282,-0.34437372059348387,0.0491486639523696,-0.8954440794962427,1.1947279329867213,0.9871884653966974,-1.4843028688828197,-0.9911202906107688,Industry
23,bad payed,-0.7844016992948781,0.06750348254308644,-0.47439019737113197,0.6418772747152508,-0.4965634795221097,0.00023215933925943143,-0.4353588715293793,0.3128365991687162,-0.001604592325061018,0.029467616819513293,Salary
24,very bad payed ,-0.714273007701664,-0.2369386058591664,-0.43662394364253865,3.199869501508882,1.739065422399573,-0.14104603703212895,3.1673035606160678,-1.2035336158293155,1.1006585393133825,0.7913465417178296,Salary
25,very well payed,1.1937870128005457,-0.1800135841174479,0.26542466107541374,0.11843493272661426,-0.3651375031687207,0.13631031817077546,-0.18546143035127352,-0.08944648953060015,0.26128438781643387,0.07343463802393073,Salary
